Year,Month,Region,POE,Crossing,Modes,Northbound Crossing,source
2025,8,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,14076,ELP_pdf
2025,8,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,288477,ELP_pdf
2025,8,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,116291,ELP_pdf
2025,8,El Paso,El Paso,El Paso Railroad Bridges,Railcars,9928,ELP_pdf
2025,8,El Paso,El Paso,Good Neighbor Bridge,Buses,0,ELP_pdf
2025,8,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0,ELP_pdf
2025,8,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,148248,ELP_pdf
2025,8,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0,ELP_pdf
2025,8,El Paso,El Paso,Paso del Norte Bridge,Buses,294,ELP_pdf
2025,8,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0,ELP_pdf
2025,8,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,234251,ELP_pdf
2025,8,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,321119,ELP_pdf
2025,8,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0,ELP_pdf
2025,8,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0,ELP_pdf
2025,8,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,10406,ELP_pdf
2025,8,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,235,ELP_pdf
2025,8,El Paso,Marcelino Serna,Marcelino Serna Bridge,Buses,0,ELP_pdf
2025,8,El Paso,Marcelino Serna,Marcelino Serna Bridge,Commercial Trucks,3169,ELP_pdf
2025,8,El Paso,Marcelino Serna,Marcelino Serna Bridge,Passenger Vehicles,58124,ELP_pdf
2025,8,El Paso,Marcelino Serna,Marcelino Serna Bridge,Pedestrians/ Bicyclists,7811,ELP_pdf
2025,8,El Paso,Presidio,Boquillas,Buses,0,ELP_pdf
2025,8,El Paso,Presidio,Boquillas,Commercial Trucks,0,ELP_pdf
2025,8,El Paso,Presidio,Boquillas,Passenger Vehicles,0,ELP_pdf
2025,8,El Paso,Presidio,Boquillas,Pedestrians/ Bicyclists,657,ELP_pdf
2025,8,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,251,ELP_pdf
2025,8,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,755,ELP_pdf
2025,8,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,58713,ELP_pdf
2025,8,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,8934,ELP_pdf
2025,8,El Paso,Ysleta,Ysleta Bridge,Buses,0,ELP_pdf
2025,8,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,53992,ELP_pdf
2025,8,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,328173,ELP_pdf
2025,8,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,181006,ELP_pdf
2025,9,El Paso,El Paso,Bridge of the Americas,Buses,725,ELP_pdf
2025,9,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,14121,ELP_pdf
2025,9,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,275946,ELP_pdf
2025,9,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,110818,ELP_pdf
2025,9,El Paso,El Paso,El Paso Railroad Bridges,Railcars,10495,ELP_pdf
2025,9,El Paso,El Paso,Good Neighbor Bridge,Buses,0,ELP_pdf
2025,9,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0,ELP_pdf
2025,9,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,150184,ELP_pdf
2025,9,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0,ELP_pdf
2025,9,El Paso,El Paso,Paso del Norte Bridge,Buses,282,ELP_pdf
